claim_area	implemented_evidence	primary_outputs	claim_boundary	target_relevance
Independent human GEO validation	prepare_gse246215_fibroblast_inputs.R plus run_multi_public_realdata_validation.R on GSE246215 human fibroblast count matrices	data/public_geo_gse246215_fibroblast_atlas; analysis/independent_geo_gse246215_validation; docs/independent-geo-gse246215-validation.md	GSE246215 uses public processed count matrices and sampled cancer-type subsets; raw FASTQ-level reprocessing and definitive cancer biology claims remain future work.	Adds an independent human multi-patient fibroblast atlas source beyond the mouse Dryad validation.
Independent human donor perturbation validation	prepare_gse167339_human_fibroblast_inputs.R plus run_multi_public_realdata_validation.R on GSE167339 human fibroblast MTX samples	data/public_geo_gse167339_human_fibroblast; analysis/independent_geo_gse167339_validation; docs/independent-geo-gse167339-validation.md	GSE167339 uses bounded sampled 10x-style processed MTX matrices from three donors; Human 3 hash groups are included as hash_unknown without treatment-label interpretation.	Adds an independent human donor-level perturbation dataset beyond the cancer atlas validation.
GSE167339 donor robustness	run_gse167339_donor_robustness.R donor composition, leave-donor-out transfer, and hash-threshold sensitivity	analysis/gse167339_donor_robustness; docs/gse167339-donor-robustness.md	GSE167339 donor robustness supports transfer and threshold stability, not Human3 treatment-specific biology.	Converts the GSE167339 real-data layer into explicit donor-level reproducibility evidence.
Independent fibroblast dataset screening	audit_independent_fibroblast_datasets.R ranks GSE167339, GSE156326, GSE181316, GSE246215, scar sensitivity datasets, and bulk endpoint support	analysis/independent_fibroblast_dataset_screening; docs/iscience-method-biological-execution.md	Readiness audit does not rerun heavy fitting and does not convert scar-project outputs into FibroDynMix claims without figure/source-data integration.	Identifies the external-data path for a method-first submission with bounded biological-utility evidence.
Figure 5 external biological validation	make_figure5.R integrates GSE167339 donor/transfer evidence with GSE156326/GSE181316 scar state composition and module validation	figures/figure5; docs/figure5-external-validation.md	External Figure 5 supports reproducibility and biological utility; GSE156326/GSE181316 module contrasts are descriptive small-sample effects and do not pass FDR significance.	Promotes independent public human fibroblast data into a main-figure-level biological validation panel.
Selected-NB final summaries	run_selected_nb_final_summaries.R reruns VI, transfer, and GSE246215 downstream summaries using validation-aware selected NB defaults	analysis/selected_nb_final_summaries; docs/selected-nb-final-summaries.md	Selected-NB final summaries are simulation-calibrated and preserve baseline-competitive language for GSE246215.	Anchors final summary claims to explicit model-selection defaults instead of fixed smoke settings.
Bioinformatics validation	run_bioinformatics_validation.R fibroblast purity QC, state-associated genes/pathways, donor-aware abundance, and FPI	analysis/bioinformatics_validation; docs/bioinformatics-validation.md	Bioinformatics validation uses curated marker/pathway checks and donor summaries, not exhaustive annotation or causal biology.	Shows input fibroblast purity, biological interpretability of state programs, and donor-aware state/FPI shifts.
GSE246215 sensitivity and QC	run_gse246215_sensitivity.R random downsampling, library-size q95 trimming, transfer convergence, and composition variability	analysis/gse246215_sensitivity; docs/gse246215-sensitivity.md	QC sensitivity supports computational robustness but HCC remains a library-size outlier and should not be overinterpreted biologically.	Addresses real-data robustness and library-size confounding concerns without relying on new figures.
Public raw-count execution	run_public_realdata_smoke.R, run_public_realdata_transfer.R, Figure 2, public smoke figure	analysis/public_realdata_smoke; analysis/public_realdata_figure2; figures/figure2	Public analyses are technical smoke tests, not disease-mechanism claims.	Shows raw-count execution outside simulation.
Reproducibility audit	run_reproducibility_audit.R analysis catalog, script inventory, documentation inventory, and runbook	analysis/reproducibility_audit; docs/reproducibility-runbook.md	Audit checks file presence and metadata coverage; it does not rerun every heavy analysis.	Supports reproducible research handoff and manuscript evidence traceability.
Runtime and dependency lock	run_runtime_lock.R package dependency lock, R session info, external data lock, and heavy-analysis I/O contract	analysis/runtime_lock; docs/package-runtime-lock.md	Runtime lock is a package-level snapshot and analysis contract, not a full renv.lock or container image.	Supports dependency/runtime review and public-data handoff for a mature R package.
Package maturity	NEWS.md, inst/CITATION, cran-comments.md, _pkgdown.yml, function index, R CMD check OK	NEWS.md; inst/CITATION; docs/package-function-index.md; inst/doc/fibrodynmix-workflow.md	Package is development version 0.0.0.9000, not yet submitted to CRAN/Bioconductor.	Supports mature R package review and reproducibility expectations.
Manuscript figure reproducibility	figures/figure1-6, public_realdata_smoke, panel source-data manifests, export QC	figures/*/source_data; figures/*/qc/export_image_qc.tsv	Figures are manuscript-facing computational outputs; external biological panels remain bounded public count-matrix validations, not standalone disease-atlas proof.	Supports source-backed figure review.
